Player,pct_2P_2013,pct_0-3_2013,pct_3-10_2013,pct_10-16_2013,pct_16-3P_2013,pct_3P_2013,att_2P_2013,att_0-3_2013,att_3-10_2013,att_10-16_2013,att_16-3P_2013,att_3P_2013
Hamed Haddadi,1.000,.541,.230,.148,.082,.000,.459,.606,.214,.444,.200,
Jordan Hamilton,.637,.249,.214,.109,.065,.363,.445,.660,.349,.273,.231,.370
Richard Hamilton,.891,.097,.135,.314,.345,.109,.444,.630,.391,.436,.421,.308
Ben Hansbrough,.489,.222,.022,.089,.156,.511,.409,.600,.000,.500,.143,.261
Tyler Hansbrough,.993,.464,.233,.084,.211,.007,.436,.577,.337,.176,.337,.000
James Harden,.636,.308,.149,.049,.130,.364,.477,.650,.296,.318,.333,.368
Maurice Harkless,.793,.551,.131,.050,.060,.207,.510,.630,.284,.250,.118,.274
Josh Harrellson,.444,.333,.111,.000,.000,.556,.750,1.000,.000,,,.200
Al Harrington,.474,.298,.053,.018,.105,.526,.444,.529,.333,.000,.333,.267
Devin Harris,.481,.273,.081,.032,.095,.519,.549,.678,.472,.357,.310,.335
Terrel Harris,.704,.259,.185,.111,.148,.296,.211,.429,.000,.333,.000,.000
Terrel Harris,.875,.375,.375,.000,.125,.125,.286,.667,.000,,.000,.000
Terrel Harris,.632,.211,.105,.158,.158,.368,.167,.250,.000,.333,.000,.000
Tobias Harris,.789,.332,.254,.113,.090,.211,.493,.600,.400,.362,.522,.315
Tobias Harris,.817,.348,.217,.209,.043,.183,.489,.575,.400,.417,.600,.333
Tobias Harris,.781,.327,.264,.086,.103,.219,.494,.608,.400,.324,.512,.310
Udonis Haslem,1.000,.418,.088,.183,.311,.000,.514,.724,.227,.348,.410,
Spencer Hawes,.893,.313,.150,.163,.266,.107,.477,.630,.361,.439,.384,.356
Chuck Hayes,.995,.416,.500,.079,.000,.005,.444,.532,.358,.533,,.000
Gordon Hayward,.682,.238,.125,.070,.248,.318,.444,.587,.371,.315,.380,.415
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
Lazar Hayward,.600,.300,.100,.000,.200,.400,.333,.667,.000,,.000,.000
Brendan Haywood,.995,.333,.458,.185,.019,.005,.433,.611,.354,.300,.500,.000
Gerald Henderson,.883,.268,.124,.175,.316,.117,.462,.576,.349,.413,.437,.330
Xavier Henry,.932,.360,.155,.075,.342,.068,.413,.552,.240,.333,.364,.364
John Henson,.991,.479,.304,.095,.113,.009,.486,.646,.422,.219,.211,.000
Roy Hibbert,.995,.360,.424,.130,.081,.005,.449,.518,.423,.348,.443,.250
J.J. Hickson,.997,.583,.196,.122,.095,.003,.563,.671,.342,.462,.493,.000
Cory Higgins,.737,.105,.158,.263,.211,.263,.357,.500,.000,.400,.500,.200
Nenê,.998,.397,.236,.182,.184,.002,.481,.699,.357,.315,.330,.000
George Hill,.595,.188,.126,.111,.169,.405,.494,.677,.455,.454,.347,.368
Grant Hill*,.888,.214,.153,.214,.306,.112,.402,.714,.200,.476,.233,.273
Jordan Hill,.987,.426,.239,.065,.258,.013,.503,.636,.486,.400,.325,.000
Kirk Hinrich,.569,.137,.097,.045,.289,.431,.367,.517,.268,.421,.320,.390
Jrue Holiday,.808,.261,.161,.161,.224,.192,.446,.592,.322,.423,.381,.368
Justin Holiday,.667,.188,.063,.146,.271,.333,.375,.667,.667,.143,.231,.250
Ryan Hollins,1.000,.535,.307,.114,.044,.000,.614,.721,.571,.308,.400,
Tyler Honeycutt,.818,.364,.091,.000,.364,.182,.333,.750,.000,,.000,.000
Al Horford,.994,.350,.207,.114,.324,.006,.544,.752,.434,.446,.423,.500
Dwight Howard,.993,.594,.357,.025,.017,.007,.581,.700,.424,.250,.214,.167
Josh Howard,.792,.247,.091,.182,.273,.208,.426,.579,.286,.357,.381,.313
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
Juwan Howard,1.000,.158,.526,.105,.211,.000,.526,.333,.800,.500,.000,
Kris Humphries,.994,.452,.219,.181,.142,.006,.451,.579,.353,.357,.318,.000
Serge Ibaka,.927,.334,.154,.131,.307,.073,.591,.742,.492,.588,.477,.351
Andre Iguodala,.673,.307,.093,.102,.171,.327,.515,.752,.329,.278,.333,.317
Ersan İlyasova,.733,.288,.102,.121,.223,.267,.469,.567,.329,.495,.391,.444
Kyrie Irving,.739,.235,.138,.173,.193,.261,.474,.574,.385,.443,.444,.391
Royal Ivey,.389,.132,.083,.056,.118,.611,.446,.684,.250,.375,.353,.420
Jarrett Jack,.763,.089,.180,.187,.308,.237,.466,.592,.442,.456,.451,.404
Reggie Jackson,.680,.292,.166,.083,.138,.320,.566,.747,.519,.333,.378,.231
Stephen Jackson,.485,.255,.121,.027,.082,.515,.481,.548,.425,.222,.444,.271
Bernard James,.981,.689,.243,.029,.019,.019,.525,.620,.360,.000,.000,.000
